mechanism,missing_rate,repetition,method,term,estimate,std.error,conf.low,conf.high,true_estimate,bias,ci_width,ci_cover
MAR,0.1,7,complete_case,income_ratio,-0.07486287473579928,0.02665880738456188,-0.12722904491977452,-0.022496704551824044,-0.05343704488580892,-0.021425829849990356,0.10473234036795048,1
MAR,0.1,7,complete_case,sexFemale,-0.19606178561984627,0.08545789050523946,-0.36392760096582544,-0.02819597027386711,-0.09307566573776974,-0.10298611988207654,0.3357316306919583,1
MAR,0.1,7,complete_case,smoking_statusYes,-0.1816904095136848,0.087793351820107,-0.3541437955978534,-0.009237023429516156,-0.022120133000263893,-0.1595702765134209,0.34490677216833726,1
MAR,0.1,7,complete_case,systolic_bp,0.005096289942985229,0.002543543785136737,9.99806632236552e-5,0.010092599222746804,0.0020175183065907756,0.0030787716363944537,0.009992618559523148,1
MAR,0.1,8,complete_case,(Intercept),3.8757026102074925,0.36515730939938845,3.158353685142669,4.593051535272316,4.0349672958498015,-0.159264685642309,1.4346978501296475,1
MAR,0.1,8,complete_case,age,0.013653409616347234,0.002952959346183808,0.007852342081291541,0.019454477151402926,0.01753512986073419,-0.003881720244386955,0.011602135070111385,1
MAR,0.1,8,complete_case,bmi,0.037200072922827024,0.007247525169663815,0.022962361514585118,0.05143778433106893,0.02897241650381511,0.008227656419011915,0.02847542281648381,1
MAR,0.1,8,complete_case,income_ratio,-0.0742635225014735,0.029020394241440702,-0.1312738796220689,-0.017253165380878087,-0.05343704488580892,-0.020826477615664578,0.11402071424119081,1
MAR,0.1,8,complete_case,sexFemale,-0.1451816890150961,0.09186636420512878,-0.32565250506025645,0.03528912703006426,-0.09307566573776974,-0.05210602327732636,0.3609416320903207,1
MAR,0.1,8,complete_case,smoking_statusYes,0.005134777831040557,0.09534570411775146,-0.18217117661066534,0.19244073227274644,-0.022120133000263893,0.02725491083130445,0.3746119088834118,1
MAR,0.1,8,complete_case,systolic_bp,0.0031293019670950635,0.002816307672797279,-0.002403314332044332,0.00866191826623446,0.0020175183065907756,0.0011117836605042879,0.01106523259827879,1
MAR,0.2,1,complete_case,(Intercept),4.784887690531437,0.5181114093634437,3.7650772925942806,5.804698088468593,4.0349672958498015,0.7499203946816353,2.039620795874312,1
MAR,0.2,1,complete_case,age,0.019043039054995055,0.0041567609470595564,0.010861192527510466,0.027224885582479645,0.01753512986073419,0.001507909194260866,0.01636369305496918,1
MAR,0.2,1,complete_case,bmi,0.02427813562591179,0.011070150277080883,0.002488508616608324,0.046067762635215254,0.02897241650381511,-0.004694280877903318,0.04357925401860693,1
MAR,0.2,1,complete_case,income_ratio,-0.07384576133690648,0.03990546383228588,-0.15239258778234172,0.004701065108528746,-0.05343704488580892,-0.020408716451097562,0.15709365289087046,1
MAR,0.2,1,complete_case,sexFemale,-0.21046386948019757,0.12874258329297664,-0.46387080614807713,0.04294306718768198,-0.09307566573776974,-0.11738820374242784,0.5068138733357591,1
MAR,0.2,1,complete_case,smoking_statusYes,-0.1409360815578161,0.13225346892740233,-0.40125357377658477,0.11938141066095256,-0.022120133000263893,-0.1188159485575522,0.5206349844375373,1
MAR,0.2,1,complete_case,systolic_bp,-0.0023761668981587694,0.0038095327686136155,-0.009874556353599705,0.005122222557282166,0.0020175183065907756,-0.004393685204749545,0.01499677891088187,1
MAR,0.2,2,complete_case,(Intercept),4.268211985972371,0.3739942411538195,3.532177064632117,5.004246907312626,4.0349672958498015,0.23324469012256976,1.4720698426805092,1
MAR,0.2,2,complete_case,age,0.01681347352626666,0.003386513395689121,0.010148686086963322,0.02347826096557,0.01753512986073419,-7.216563344675277e-4,0.013329574878606677,1
MAR,0.2,2,complete_case,bmi,0.0338647057790051,0.0076757197924663,0.01875859666821226,0.04897081488979794,0.02897241650381511,0.00489228927518999,0.03021221822158568,1
MAR,0.2,2,complete_case,income_ratio,-0.042870670431822536,0.02954380366978919,-0.10101400211280857,0.015272661249163502,-0.05343704488580892,0.010566374453986387,0.11628666336197208,1
