method,mechanism,missing_rate,term,mean_bias,empirical_sd,mean_model_se,ci_coverage,avg_ci_width,n_repetitions
complete_case,MCAR,0.3,bmi,0.010744032130185674,0.019203274932282313,0.015682022844298194,0.875,0.062174047955844004,8
knn,MCAR,0.3,bmi,-0.005588802733170978,0.0020257806480067416,0.0052054451500736666,1,0.02042987141938426,8
mean_mode,MCAR,0.3,bmi,-0.0026239473384170784,0.0033915947059485617,0.005500324260029421,1,0.02158718690864136,8
mice,MCAR,0.3,bmi,-0.0031744379626750512,0.00291986897503212,0.005815238576286527,1,0.023458119770723432,8
missforest,MCAR,0.3,bmi,0.0045544353580216305,0.0027790601963704146,0.005304808845766303,1,0.020819845277187114,8
complete_case,MAR,0.1,income_ratio,-0.011458729079566743,0.015533029008860808,0.02635172393990932,1,0.10353057951457903,8
knn,MAR,0.1,income_ratio,-0.01554352090489887,0.009797640537100617,0.02232302957231969,1,0.08761145506396309,8
mean_mode,MAR,0.1,income_ratio,-0.014876074216162646,0.0077380771718346345,0.022756993977076367,1,0.08931464023529144,8
mice,MAR,0.1,income_ratio,-0.017173745739169213,0.005556048690225752,0.02279176845483362,1,0.08964296197538829,8
missforest,MAR,0.1,income_ratio,-0.021685481807686702,0.006603002183098147,0.022653095653416236,1,0.08890686927010588,8
complete_case,MAR,0.2,income_ratio,-0.015149220879682502,0.030600183774179664,0.0370551746273254,1,0.1458790636763141,8
knn,MAR,0.2,income_ratio,-0.025372216700060915,0.016488377104295994,0.02292893068621366,0.875,0.08998944224716111,8
mean_mode,MAR,0.2,income_ratio,-0.016801460367613246,0.0077146820699428185,0.024068800390640643,1,0.09446310219840759,8
mice,MAR,0.2,income_ratio,-0.022321131855631213,0.011415343138818262,0.024570412122399795,0.875,0.09753619489461451,8
missforest,MAR,0.2,income_ratio,-0.03641391682444459,0.012559274118671564,0.023700508437596024,0.75,0.09301766246586349,8
complete_case,MAR,0.3,income_ratio,0.003227608786554998,0.04794964237215407,0.04673919924248535,0.875,0.18491812592192705,8
knn,MAR,0.3,income_ratio,-0.016259434574586666,0.0178909463100866,0.023697026265977295,1,0.09300399594621342,8
mean_mode,MAR,0.3,income_ratio,-0.010916578959597523,0.013216883722995492,0.025690314977240232,1,0.1008270794479646,8
mice,MAR,0.3,income_ratio,-0.020721195725276732,0.01761387762977091,0.025916454220200735,0.875,0.10363570520293008,8
missforest,MAR,0.3,income_ratio,-0.03594836356044924,0.022939892091830262,0.025297788712873946,0.875,0.09928652703053667,8
complete_case,MCAR,0.1,income_ratio,-0.031509688862679346,0.018245934809069653,0.031083102526996188,1,0.12213005891890358,8
knn,MCAR,0.1,income_ratio,-0.02048030671872765,0.008167033589515585,0.02232640019053736,1,0.08762468376867624,8
mean_mode,MCAR,0.1,income_ratio,-0.021577342995079143,0.007332374687039203,0.022800066852744858,1,0.08948368885384386,8
mice,MCAR,0.1,income_ratio,-0.020811464095239082,0.007834352139027568,0.022906451997898113,1,0.09011333704641938,8
missforest,MCAR,0.1,income_ratio,-0.026951815695200068,0.007457085301918995,0.022788254495265663,1,0.08943732875638777,8
complete_case,MCAR,0.2,income_ratio,-0.012338831452148353,0.022029143487928057,0.04163624915625898,1,0.16398590692659915,8
knn,MCAR,0.2,income_ratio,-0.017092661652110507,0.016023213450049242,0.022975749865037684,1,0.09017319402549315,8
mean_mode,MCAR,0.2,income_ratio,-0.010294479074016583,0.011545010446701488,0.02439053506440143,1,0.095725818032806,8
mice,MCAR,0.2,income_ratio,-0.013399969199089534,0.013164524903279034,0.025832152331030502,1,0.10329715389639954,8
missforest,MCAR,0.2,income_ratio,-0.02340853404966509,0.014272022098834953,0.024179404150272765,1,0.09489719006652254,8
complete_case,MCAR,0.3,income_ratio,-0.043130338361988305,0.07834767420970011,0.07317049405017748,0.875,0.2900883707867012,8
knn,MCAR,0.3,income_ratio,-0.009846991736911797,0.019956754651433203,0.024084558556532302,1,0.0945249484562569,8
mean_mode,MCAR,0.3,income_ratio,-0.005878770995004093,0.012266052531571281,0.026091756802078658,1,0.10240262286977857,8
