method,mechanism,missing_rate,term,mean_bias,empirical_sd,mean_model_se,ci_coverage,avg_ci_width,n_repetitions
knn,MAR,0.2,systolic_bp,0.0014156349182096336,0.0016536836557289154,0.002115230405951154,1,0.00830166949609343,8
mean_mode,MAR,0.2,systolic_bp,0.002627216481097036,0.0015592971134508135,0.0021086599143602873,0.875,0.008275882210953819,8
mice,MAR,0.2,systolic_bp,2.681228361570677e-4,0.001414725620026495,0.0024309198807756305,1,0.009783280640754066,8
missforest,MAR,0.2,systolic_bp,-1.2366490163934668e-4,0.001616828108501535,0.0022156270345384194,1,0.008695697317700287,8
complete_case,MAR,0.3,systolic_bp,-0.004012953615662022,0.003519193291279262,0.0050760315142376385,1,0.020082889809197813,8
knn,MAR,0.3,systolic_bp,0.0016030177067235766,0.0024711723693922865,0.0021913134252758513,0.875,0.008600273411261012,8
mean_mode,MAR,0.3,systolic_bp,0.002662169972805844,0.0014529319416298277,0.0022206626189338738,0.875,0.008715460534630761,8
mice,MAR,0.3,systolic_bp,-7.255184604298234e-4,0.002710379008880698,0.002829525958443884,1,0.011724684239944331,8
missforest,MAR,0.3,systolic_bp,-0.0015933822644848175,0.0026434545121680744,0.002388954907682964,0.875,0.00937595924720852,8
complete_case,MCAR,0.1,systolic_bp,0.002253027656975923,0.0014045908302123774,0.002749197935006004,1,0.010802001646288162,8
knn,MCAR,0.1,systolic_bp,0.0016973006232406944,0.0010301030248193856,0.002009723973748983,1,0.007887587168518078,8
mean_mode,MCAR,0.1,systolic_bp,0.002171242167895495,0.001028493678243369,0.001982994831006407,1,0.007782682989598151,8
mice,MCAR,0.1,systolic_bp,0.001072794956386653,0.0014582018756141035,0.0020425155010209816,1,0.008039303985644567,8
missforest,MCAR,0.1,systolic_bp,0.0011429882184508951,0.0012793787480549575,0.0020335850267034906,1,0.007981234921925835,8
complete_case,MCAR,0.2,systolic_bp,0.001317089325091407,0.004487360427293938,0.0037683294742105037,0.875,0.01484170222694889,8
knn,MCAR,0.2,systolic_bp,0.0022110383111077305,0.00108792670939142,0.002089270030352947,1,0.00819978250657001,8
mean_mode,MCAR,0.2,systolic_bp,0.003248971580784378,9.871579829917694e-4,0.0020602477365528507,0.75,0.00808587837089332,8
mice,MCAR,0.2,systolic_bp,0.0011446141022219433,0.0016220747297760328,0.002202535422665182,1,0.008729559919986543,8
missforest,MCAR,0.2,systolic_bp,3.826741521585161e-4,0.001188368874085045,0.0021760227099997254,1,0.00854026176230583,8
complete_case,MCAR,0.3,systolic_bp,0.0010566423283891653,0.005693921927198271,0.005974914632113174,1,0.02368712301092656,8
knn,MCAR,0.3,systolic_bp,0.0027165472274265196,0.001976078440571353,0.002164755565459351,0.75,0.008496041468442931,8
mean_mode,MCAR,0.3,systolic_bp,0.0037033593257024015,0.0018646516613445103,0.002189967192760293,0.625,0.008594989836773042,8
mice,MCAR,0.3,systolic_bp,0.0012404525690377457,0.0019240080165645519,0.002546504417617668,1,0.010334217403774234,8
missforest,MCAR,0.3,systolic_bp,-4.940599945148388e-4,0.002519791500881211,0.002340040607321775,1,0.00918398472089273,8
