method,mechanism,missing_rate,variable,metric,mean_value,sd_value,n_repetitions
mean_mode,MCAR,0.3,age,rmse,17.16989821997002,0.33847005142520037,8
mice,MCAR,0.3,age,rmse,21.677968329247985,1.051652537865101,8
missforest,MCAR,0.3,age,rmse,14.845076892619883,0.8031368017176305,8
complete_case,MAR,0.1,bmi,rmse,,,0
knn,MAR,0.1,bmi,rmse,10.27026957373079,0.8954674083855264,8
mean_mode,MAR,0.1,bmi,rmse,9.839012623381326,0.8772497935005887,8
mice,MAR,0.1,bmi,rmse,11.461821506499946,0.8606265923575904,8
missforest,MAR,0.1,bmi,rmse,9.267669355447024,0.9066713080449177,8
complete_case,MAR,0.2,bmi,rmse,,,0
knn,MAR,0.2,bmi,rmse,9.772272018580038,0.5012648166322309,8
mean_mode,MAR,0.2,bmi,rmse,9.19262520232719,0.4920798616576335,8
mice,MAR,0.2,bmi,rmse,11.241220813251848,0.47545558657123804,8
missforest,MAR,0.2,bmi,rmse,8.708995383383245,0.4708917619717482,8
complete_case,MAR,0.3,bmi,rmse,,,0
knn,MAR,0.3,bmi,rmse,9.030289094952934,0.36140571271299704,8
mean_mode,MAR,0.3,bmi,rmse,8.512919647322892,0.4946102444287641,8
mice,MAR,0.3,bmi,rmse,10.83214906117282,0.630505774393261,8
missforest,MAR,0.3,bmi,rmse,8.277432907512537,0.38110497682591216,8
complete_case,MCAR,0.1,bmi,rmse,,,0
knn,MCAR,0.1,bmi,rmse,8.168139310054483,1.125586580566652,8
mean_mode,MCAR,0.1,bmi,rmse,7.44747977689972,1.1507925042673854,8
mice,MCAR,0.1,bmi,rmse,10.030925620422096,1.3616220178867267,8
missforest,MCAR,0.1,bmi,rmse,7.202963478930242,1.089934919249833,8
complete_case,MCAR,0.2,bmi,rmse,,,0
knn,MCAR,0.2,bmi,rmse,8.38514171506926,0.4465114730970002,8
mean_mode,MCAR,0.2,bmi,rmse,7.703996761616829,0.452748699322679,8
mice,MCAR,0.2,bmi,rmse,10.383796788687988,0.6194336048279742,8
