source_file,method,output_file,n_rows,n_cols
sim_mar_r10pct_rep015.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep015.csv,15000,12
sim_mar_r10pct_rep016.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep016.csv,823,12
sim_mar_r10pct_rep016.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep016.csv,1500,12
sim_mar_r10pct_rep016.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep016.csv,1500,12
sim_mar_r10pct_rep016.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep016.csv,1500,12
sim_mar_r10pct_rep016.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep016.csv,15000,12
sim_mar_r10pct_rep017.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep017.csv,824,12
sim_mar_r10pct_rep017.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep017.csv,1500,12
sim_mar_r10pct_rep017.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep017.csv,1500,12
sim_mar_r10pct_rep017.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep017.csv,1500,12
sim_mar_r10pct_rep017.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep017.csv,15000,12
sim_mar_r10pct_rep018.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep018.csv,828,12
sim_mar_r10pct_rep018.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep018.csv,1500,12
sim_mar_r10pct_rep018.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep018.csv,1500,12
sim_mar_r10pct_rep018.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep018.csv,1500,12
sim_mar_r10pct_rep018.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep018.csv,15000,12
sim_mar_r10pct_rep019.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep019.csv,820,12
sim_mar_r10pct_rep019.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep019.csv,1500,12
sim_mar_r10pct_rep019.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep019.csv,1500,12
sim_mar_r10pct_rep019.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep019.csv,1500,12
sim_mar_r10pct_rep019.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep019.csv,15000,12
sim_mar_r10pct_rep020.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep020.csv,831,12
sim_mar_r10pct_rep020.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep020.csv,1500,12
sim_mar_r10pct_rep020.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep020.csv,1500,12
sim_mar_r10pct_rep020.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep020.csv,1500,12
sim_mar_r10pct_rep020.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep020.csv,15000,12
sim_mar_r10pct_rep021.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep021.csv,2107,12
sim_mar_r10pct_rep021.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep021.csv,3852,12
sim_mar_r10pct_rep021.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep021.csv,3852,12
sim_mar_r10pct_rep021.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep021.csv,3852,12
sim_mar_r10pct_rep021.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep021.csv,38520,12
sim_mar_r10pct_rep022.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep022.csv,2101,12
sim_mar_r10pct_rep022.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep022.csv,3852,12
sim_mar_r10pct_rep022.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep022.csv,3852,12
sim_mar_r10pct_rep022.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep022.csv,3852,12
sim_mar_r10pct_rep022.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep022.csv,38520,12
sim_mar_r10pct_rep023.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep023.csv,2116,12
sim_mar_r10pct_rep023.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep023.csv,3852,12
sim_mar_r10pct_rep023.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep023.csv,3852,12
sim_mar_r10pct_rep023.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep023.csv,3852,12
sim_mar_r10pct_rep023.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep023.csv,38520,12
sim_mar_r10pct_rep024.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep024.csv,2126,12
sim_mar_r10pct_rep024.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep024.csv,3852,12
sim_mar_r10pct_rep024.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep024.csv,3852,12
sim_mar_r10pct_rep024.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep024.csv,3852,12
sim_mar_r10pct_rep024.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep024.csv,38520,12
sim_mar_r10pct_rep025.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep025.csv,2122,12
sim_mar_r10pct_rep025.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep025.csv,3852,12
sim_mar_r10pct_rep025.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep025.csv,3852,12
sim_mar_r10pct_rep025.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep025.csv,3852,12
sim_mar_r10pct_rep025.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep025.csv,38520,12
sim_mar_r10pct_rep026.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep026.csv,2101,12
sim_mar_r10pct_rep026.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep026.csv,3852,12
sim_mar_r10pct_rep026.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep026.csv,3852,12
sim_mar_r10pct_rep026.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep026.csv,3852,12
sim_mar_r10pct_rep026.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep026.csv,38520,12
sim_mar_r10pct_rep027.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep027.csv,2147,12
sim_mar_r10pct_rep027.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep027.csv,3852,12
sim_mar_r10pct_rep027.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep027.csv,3852,12
sim_mar_r10pct_rep027.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep027.csv,3852,12
sim_mar_r10pct_rep027.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep027.csv,38520,12
sim_mar_r10pct_rep028.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep028.csv,2084,12
sim_mar_r10pct_rep028.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep028.csv,3852,12
sim_mar_r10pct_rep028.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep028.csv,3852,12
sim_mar_r10pct_rep028.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep028.csv,3852,12
sim_mar_r10pct_rep028.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep028.csv,38520,12
sim_mar_r10pct_rep029.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep029.csv,2118,12
sim_mar_r10pct_rep029.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep029.csv,3852,12
sim_mar_r10pct_rep029.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep029.csv,3852,12
sim_mar_r10pct_rep029.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep029.csv,3852,12
sim_mar_r10pct_rep029.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep029.csv,38520,12
sim_mar_r10pct_rep030.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep030.csv,2122,12
sim_mar_r10pct_rep030.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep030.csv,3852,12
sim_mar_r10pct_rep030.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep030.csv,3852,12
sim_mar_r10pct_rep030.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep030.csv,3852,12
sim_mar_r10pct_rep030.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep030.csv,38520,12
sim_mar_r10pct_rep031.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep031.csv,2090,12
sim_mar_r10pct_rep031.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep031.csv,3852,12
sim_mar_r10pct_rep031.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep031.csv,3852,12
sim_mar_r10pct_rep031.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep031.csv,3852,12
sim_mar_r10pct_rep031.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep031.csv,38520,12
sim_mar_r10pct_rep032.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep032.csv,2094,12
sim_mar_r10pct_rep032.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep032.csv,3852,12
sim_mar_r10pct_rep032.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep032.csv,3852,12
sim_mar_r10pct_rep032.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep032.csv,3852,12
sim_mar_r10pct_rep032.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep032.csv,38520,12
sim_mar_r10pct_rep033.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep033.csv,2124,12
sim_mar_r10pct_rep033.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep033.csv,3852,12
sim_mar_r10pct_rep033.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep033.csv,3852,12
sim_mar_r10pct_rep033.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep033.csv,3852,12
sim_mar_r10pct_rep033.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep033.csv,38520,12
sim_mar_r10pct_rep034.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep034.csv,2123,12
sim_mar_r10pct_rep034.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep034.csv,3852,12
sim_mar_r10pct_rep034.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep034.csv,3852,12
sim_mar_r10pct_rep034.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep034.csv,3852,12
sim_mar_r10pct_rep034.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep034.csv,38520,12
sim_mar_r10pct_rep035.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep035.csv,2127,12
sim_mar_r10pct_rep035.csv,mean_mode,imputed_data/mean_mode/mean_mode_sim_mar_r10pct_rep035.csv,3852,12
sim_mar_r10pct_rep035.csv,knn,imputed_data/knn/knn_sim_mar_r10pct_rep035.csv,3852,12
sim_mar_r10pct_rep035.csv,missforest,imputed_data/missforest/missforest_sim_mar_r10pct_rep035.csv,3852,12
sim_mar_r10pct_rep035.csv,mice,imputed_data/mice/mice_sim_mar_r10pct_rep035.csv,38520,12
sim_mar_r10pct_rep036.csv,complete_case,imputed_data/complete_case/complete_case_sim_mar_r10pct_rep036.csv,2116,12
